descriere,pret,link
"Crema Gerovital H3 Classic antirid nutritiva de noapte, 50 ml",26,https://www.emag.ro/crema-gerovital-h3-classic-antirid-nutritiva-de-noapte-50-ml-5943000082551/pd/DY1QQYBBM/
"Crema de zi Nivea Rose Touch cu apa de trandafiri, 50 ml",30,https://www.emag.ro/crema-de-zi-nivea-rose-touch-cu-apa-de-trandafiri-50-ml-9005800339702/pd/D92PTTMBM/
"Set cadou: Crema Nivea antirid de noapte + Revitalizare: 55+, 50 ml + Crema Nivea antirid de zi + Revitalizare: 55+, 50 ml",49,https://www.emag.ro/set-cadou-crema-nivea-antirid-de-noapte-revitalizare-55-50-ml-crema-nivea-antirid-de-zi-revitalizare-55-50-ml-9005800341965/pd/DM8JQHMBM/
Crema cu extract de melc 150ml,19,https://www.emag.ro/crema-cu-extract-de-melc-150ml-5168/pd/DV4R9HBBM/
"Crema Nutritiva de Zi Elmiplant Skin Moisture 25+ pentru ten uscat/sensibil, 50 ml",18,https://www.emag.ro/crema-nutritiva-de-zi-elmiplant-skin-moisture-25-pentru-ten-uscat-sensibil-50-ml-5943048002795/pd/DLJZJBBBM/
"Crema de depigmentare Redist, 75 ml",34,https://www.emag.ro/crema-de-depigmentare-redist-75-ml-8697926006876/pd/DHW2G3BBM/
"Crema antirid cu efect de reumplere La Roche Posay Hyalu B5, 40 ml",113,https://www.emag.ro/crema-antirid-cu-efect-de-reumplere-la-roche-posay-hyalu-b5-40-ml-3337875583589/pd/DGNXYWBBM/
"Gel pentru fata Nivea Men Active Energy, 50 ml",59,https://www.emag.ro/gel-pentru-fata-nivea-men-active-energy-50-ml-4005900612861/pd/D63PTTMBM/
"Crema hidratanta pentru piele normala L'Oreal Paris Men Expert All-in-1, 75 ml",31,https://www.emag.ro/crema-hidratanta-pentru-piele-normala-l-oreal-paris-men-expert-all-in-1-75-ml-3600522695202/pd/DCNJWMMBM/
"Crema-gel revitalizanta Neutrogena Hydro Boost pentru conturul ochilor, 15 ml",46,https://www.emag.ro/crema-gel-revitalizanta-neutrogena-hydro-boost-pentru-conturul-ochilor-15-ml-3574661352565/pd/DXZT5BMBM/
"Crema PRO Retinol Neutriherbs, antirid, anti-imbatranire, cu acid hialuronic, Vitamina E si celule stem de mar, 50 ml",44,https://www.emag.ro/crema-pro-retinol-neutriherbs-antirid-anti-imbatranire-cu-acid-hialuronic-vitamina-e-si-celule-stem-de-mar-50-ml-1169/pd/DCG8CDMBM/
"Crema de zi Nivea Hydra Skin Effect, 50 ml",48,https://www.emag.ro/crema-de-zi-nivea-hydra-skin-effect-50-ml-9005800341316/pd/DM0H90MBM/
Crema de Fata cu Extract de Melc 50 ml,39,https://www.emag.ro/crema-de-fata-cu-extract-de-melc-50-ml-0141/pd/DH3VX4BBM/
"Crema revitalizanta Nivea Men Skin Energy Q10, 50 ml, 50 ml",46,https://www.emag.ro/crema-revitalizanta-nivea-men-skin-energy-q10-50-ml-50-ml-4005808645053/pd/D1N09BBBM/
"Gel hidratant anti-oboseala Uriage, pentru conturul ochilor, 15 ml",44,https://www.emag.ro/gel-hidratant-anti-oboseala-uriage-pentru-conturul-ochilor-15-ml-3661434005015/pd/D6B8BDBBM/
"Crema Redupetin pentru reducerea petelor pigmentare, 20 ml Zdrovit",43,https://www.emag.ro/crema-redupetin-pentru-reducerea-petelor-pigmentare-20-ml-zdrovit-redupetin/pd/DH0LQ9BBM/
"Tratament regenerator HQ pentru conturul ochilor cu apa de trandafir, 10 ml",14,https://www.emag.ro/tratament-regenerator-hq-pentru-conturul-ochilor-cu-apa-de-trandafir-10-ml-8050043996473/pd/D8Y5PNMBM/
"Crema de fata Bioderma Sebium Hydra pentru ten acneic, 40 ml",42,https://www.emag.ro/crema-de-fata-bioderma-sebium-hydra-pentru-ten-acneic-40-ml-3401348840421/pd/DKV9WBBBM/
"Crema SVR Sebiaclear Active Teinte anti-imperfectiuni, 40 ml",41,https://www.emag.ro/crema-svr-sebiaclear-active-teinte-anti-imperfectiuni-40-ml-3662361000890/pd/DQ4HMDMBM/
"Serum cu solutie de Ascorbyl Glucoside 12% The Ordinary, Femei, 30 ml",93,https://www.emag.ro/serum-cu-solutie-de-ascorbyl-glucoside-12-the-ordinary-femei-30-ml-tor331/pd/D6TTS5BBM/
