pret,descriere,link
3399,"Laptop 2 in 1 ASUS VivoBook Flip TM420UA cu procesor AMD Ryzen™ 5 5500U pana la 4.0GHz, 14"", Full HD, 8GB, 512GB SSD, Radeon™ Graphics 7, Windows 10 Home, Bespoke Black",https://www.emag.ro/laptop-2-in-1-asus-vivobook-flip-tm420ua-cu-procesor-amd-ryzentm-5-5500u-pana-la-4-0ghz-14-full-hd-8gb-512gb-ssd-radeontm-graphics-7-windows-10-home-bespoke-black-tm420ua-ec004t/pd/D8SWBXMBM/
1899,"Laptop HP 250 G8 cu procesor Intel Core i3-1005G1, 15.6"", HD, 4GB, 256GB SSD, Intel UHD Graphics, Free DOS, Grey",https://www.emag.ro/laptop-hp-250-g8-cu-procesor-intel-core-i3-1005g1-15-6-hd-4gb-256gb-ssd-intel-uhd-graphics-free-dos-grey-2e9g9ea/pd/D4Y8KHMBM/
6999,"Laptop Gaming ASUS ROG Flow X13 GV301QE cu procesor AMD Ryzen™ 9 5900HS, 13.4"", WUXGA, 120Hz, 16GB, 1TB SSD, NVIDIA® GeForce RTX™ 3050 Ti 4GB, No OS, Off Black",https://www.emag.ro/laptop-gaming-asus-rog-flow-x13-gv301qe-cu-procesor-amd-ryzentm-9-5900hs-13-4-wuxga-120hz-16gb-1tb-ssd-nvidiar-geforce-rtxtm-3050-ti-4gb-no-os-off-black-gv301qe-k6008/pd/D6QJNHMBM/
1749,"Laptop ASUS X515EA cu procesor Intel® Core™ i3-1115G4 pana la 4.10GHz, 15.6"", Full HD, 8GB, 256GB SSD, Intel® UHD Graphics, No OS, Slate Grey",https://www.emag.ro/laptop-asus-x515ea-cu-procesor-intelr-coretm-i3-1115g4-pana-la-4-10ghz-15-6-full-hd-8gb-256gb-ssd-intelr-uhd-graphics-no-os-slate-grey-x515ea-bq1104/pd/DGSWBXMBM/
2299,"Laptop ultraportabil ASUS VivoBook 14 X413FA cu procesor Intel® Core™ i3-10110U, 14"", Full HD, 8GB, 512GB SSD, Intel® UHD Graphics, No Os, Black",https://www.emag.ro/laptop-ultraportabil-asus-vivobook-14-x413fa-cu-procesor-intelr-coretm-i3-10110u-14-full-hd-8gb-512gb-ssd-intelr-uhd-graphics-no-os-black-x413fa-eb858/pd/DN5Z9HMBM/
3599,"Laptop Gaming Lenovo IdeaPad 3 15ARH05 cu procesor AMD Ryzen 7 4800H, 15.6"", Full HD, 120 Hz, 8GB, 512GB SSD, NVIDIA GeForce GTX 1650 Ti 4GB, No OS, Onyx Black",https://www.emag.ro/laptop-gaming-lenovo-ideapad-3-15arh05-cu-procesor-amd-ryzen-7-4800h-15-6-full-hd-120-hz-8gb-512gb-ssd-nvidia-geforce-gtx-1650-ti-4gb-no-os-onyx-black-82ey00vgrm/pd/DC27THMBM/
4299,"Laptop Gaming ASUS TUF Dash F15 FX516PC cu procesor Intel® Core™ i5-11300H pana la 4.40 GHz, 15.6"", Full HD, 144Hz, 8GB, 1TB SSD, NVIDIA® GeForce RTX™ 3050 4GB, Free DOS, Eclipse Gray",https://www.emag.ro/laptop-gaming-asus-tuf-dash-f15-fx516pc-cu-procesor-intelr-coretm-i5-11300h-pana-la-4-40-ghz-15-6-full-hd-144hz-8gb-1tb-ssd-nvidiar-geforce-rtxtm-3050-4gb-free-dos-eclipse-gray-fx516pc-hn008/pd/D294D0MBM/
1799,"Laptop Lenovo IdeaPad 3 14ADA05 cu procesor AMD Ryzen 5 3500U, 14"", Full HD, 8GB, 512GB SSD, AMD Radeon Vega 8 Graphics, Free DOS, Platinum Grey",https://www.emag.ro/laptop-lenovo-ideapad-3-14ada05-cu-procesor-amd-ryzen-5-3500u-14-full-hd-8gb-512gb-ssd-amd-radeon-vega-8-graphics-free-dos-platinum-grey-81w000m1pb/pd/DSJ1NPMBM/
3399,"Laptop ASUS K513EA cu procesor Intel® Core™ i7-1165G7, 15.6"", Full HD, 8GB, 512GB SSD, Intel® UHD Graphics, No OS, Indie Black",https://www.emag.ro/laptop-asus-k513ea-cu-procesor-intelr-coretm-i7-1165g7-15-6-full-hd-8gb-512gb-ssd-intelr-uhd-graphics-no-os-indie-black-k513ea-bn2230/pd/DBS5ZPMBM/
4899,"Laptop Apple MacBook Air 13-inch, True Tone, procesor Apple M1 , 8 nuclee CPU si 7 nuclee GPU, 8GB, 256GB, Space Grey, INT KB",https://www.emag.ro/laptop-apple-macbook-air-13-inch-true-tone-procesor-apple-m1-8-nuclee-cpu-si-7-nuclee-gpu-8gb-256gb-space-grey-int-kb-mgn63ze-a/pd/DQ5BL7MBM/
2499,"Lenovo ThinkBook 15 G2 ARE cu procesor AMD Ryzen 3 4300U pana la 3.70 GHz, 15.6"", Full HD, 8GB, 256GB SSD, AMD Radeon Grahics, Free DOS, Mineral Grey",https://www.emag.ro/lenovo-thinkbook-15-g2-are-cu-procesor-amd-ryzen-3-4300u-pana-la-3-70-ghz-15-6-full-hd-8gb-256gb-ssd-amd-radeon-grahics-free-dos-mineral-grey-20vg006crm/pd/DGK6G7MBM/
3999,"Laptop Gaming ASUS ROG Strix G15 G513IH cu procesor AMD Ryzen™ 7 4800H, 15.6"", Full HD, 144Hz, 16GB, 512GB SSD, NVIDIA® GeForce GTX™ 1650 4GB, No OS, Eclipse Gray",https://www.emag.ro/laptop-gaming-asus-rog-strix-g15-g513ih-cu-procesor-amd-ryzentm-7-4800h-15-6-full-hd-144hz-16gb-512gb-ssd-nvidiar-geforce-gtxtm-1650-4gb-no-os-eclipse-gray-g513ih-hn008/pd/D3T68HMBM/
1499,"Laptop Lenovo V15 ADA cu procesor AMD 3020E 2.60 GHz, 15.6"" Full HD, 4GB, 1TB HDD, AMD Radeon Graphics, Free DOS, Iron Grey",https://www.emag.ro/laptop-lenovo-v15-ada-cu-procesor-amd-3020e-2-60-ghz-15-6-full-hd-4gb-1tb-hdd-amd-radeon-graphics-free-dos-iron-grey-82c7008grm/pd/D8HRX3MBM/
2999,"Laptop Gaming Lenovo IdeaPad 3 15ACH6 cu procesor AMD Ryzen 5 5600H, 15.6"", Full HD, 8GB, 256GB SSD, NVIDIA GeForce GTX 1650 4GB, No OS, Shadow Black",https://www.emag.ro/laptop-gaming-lenovo-ideapad-3-15ach6-cu-procesor-amd-ryzen-5-5600h-15-6-full-hd-8gb-256gb-ssd-nvidia-geforce-gtx-1650-4gb-no-os-shadow-black-82k2007arm/pd/DP6JPXMBM/
5999,"Laptop Apple MacBook Air 13-inch, True Tone, procesor Apple M1 , 8 nuclee CPU si 7 nuclee GPU, 8GB, 512GB, Space Grey, INT KB",https://www.emag.ro/laptop-apple-macbook-air-13-inch-true-tone-procesor-apple-m1-8-nuclee-cpu-si-7-nuclee-gpu-8gb-512gb-space-grey-int-kb-mgn73ze-a/pd/D55BL7MBM/
