descriere,pret,link
"Prezervative stimulante Love Match Stimolante, 1 cutie cu 144 buc",169,https://www.emag.ro/prezervative-stimulante-love-match-stimolante-1-cutie-cu-144-buc-6502j/pd/D9X4Y9MBM/
"Prezervative Durex Feel Thin Slim Fit, 10 buc",24,https://www.emag.ro/prezervative-durex-feel-thin-slim-fit-10-buc-5997321772738/pd/D05B25BBM/
Prezervative My Size 64 mm 10buc,46,https://www.emag.ro/prezervative-my-size-64-mm-10buc-301194-ws/pd/DMP6L5BBM/
"Prezervative Durex Invisible, 24 bucati",49,https://www.emag.ro/prezervative-durex-invisible-24-bucati-487/pd/DG1KHXMBM/
"Prezervative Durex Invisible Extra Thin, lubrifiate, 10 buc",29,https://www.emag.ro/prezervative-durex-invisible-extra-thin-lubrifiate-10-buc-xte201497/pd/D1NSNHMBM/
"Prezervative Durex Feel Thin XXL, 10 buc",48,https://www.emag.ro/prezervative-durex-feel-thin-xxl-10-buc-5997321772745/pd/DQ5B25BBM/
Prezervative MY SIZE 49x10 buc,37,https://www.emag.ro/prezervative-my-size-49x10-buc-2180a/pd/D2VFBVBBM/
Prezervative Secura Black Pearl 24buc,38,https://www.emag.ro/prezervative-secura-black-pearl-24buc-deniro24417/pd/DN1PF5BBM/
"Prezervative Durex Feeling Extra Fin, 20 buc",39,https://www.emag.ro/prezervative-durex-feeling-extra-fin-20-buc-1888316888/pd/DQTQDXMBM/
"Prezervative Durex Feel Thin, 36 buc, Cutie Discreta",121,https://www.emag.ro/prezervative-durex-feel-thin-36-buc-cutie-discreta-5949031309216/pd/DW2JY5BBM/
"Prezervative Ritex Magic, 8 buc",22,https://www.emag.ro/prezervative-ritex-magic-8-buc-4001669418195/pd/DWVL6KMBM/
"Prezervative Skyn Original, 3 buc",14,https://www.emag.ro/prezervative-skyn-original-3-buc-5011831084126/pd/DBJB5MMBM/
"Prezervative Durex Invisible Extra Lubrificated, 10 buc",54,https://www.emag.ro/prezervative-durex-invisible-extra-lubrificated-10-buc-5052197049732/pd/D1CG03BBM/
Prezervative aromate Love Match 6 buc,20,https://www.emag.ro/prezervative-aromate-love-match-6-buc-xte201174/pd/DQ09Z7MBM/
Prezervative Love Match Resistente 6 buc,19,https://www.emag.ro/prezervative-love-match-resistente-6-buc-xte201182/pd/DBH9Z7MBM/
"Prezervative Pasante Tropical, 10 bucati",20,https://www.emag.ro/prezervative-pasante-tropical-10-bucati-314/pd/DYTR9WBBM/
"Prezervative ultra subtiri, Mister Size, 69 mm, 1 cutie x 10 buc",50,https://www.emag.ro/prezervative-ultra-subtiri-mister-size-69-mm-1-cutie-x-10-buc-97126/pd/DF7S3XMBM/
"Prezervativ My Size, 11 cm, 1 buc",29,https://www.emag.ro/prezervativ-my-size-11-cm-1-buc-2306/pd/D9YW65BBM/
