pret,descriere,link
5,"Analize si Comentarii Politice, Militare si de Securitate - Radu Tudor",https://www.emag.ro/analize-si-comentarii-politice-militare-si-de-securitate-radu-tudor-9786065795020/pd/EDX47HBBM/
5,Filosofia lui Dostoievski despre om - Constantine Cavarnos,https://www.emag.ro/filosofia-lui-dostoievski-despre-om-constantine-cavarnos-ev-2459/pd/DPTPL3MBM/
5,Filozoful Crud - Catalin Avramescu,https://www.emag.ro/filozoful-crud-catalin-avramescu-9786067197648/pd/DW6DY2BBM/
6,Pitagora - Ovidiu Buruiana,https://www.emag.ro/pitagora-ovidiu-buruiana-9789737800312/pd/DX0ZJ7BBM/
6,Imaginarul poeziei feminine - Georgeta Adam,https://www.emag.ro/imaginarul-poeziei-feminine-georgeta-adam-nic973-748-499-4/pd/E9RC50BBM/
6,"Indemn la simplitate, Ernest Bernea, Editura Predania",https://www.emag.ro/indemn-la-simplitate-ernest-bernea-editura-predania-pr-1646/pd/DXVW3LBBM/
7,Letter from Birmingham Jail,https://www.emag.ro/letter-from-birmingham-jail-9780241339466/pd/D4WT5LBBM/
7,"Tratat despre prudenta - Josef Pieper, ed 2005",https://www.emag.ro/tratat-despre-prudenta-josef-pieper-ed-2005-9789737919663/pd/D9JWJYMBM/
7,Scrisori despre Tractatus - Ludwig Wittgenstein,https://www.emag.ro/scrisori-despre-tractatus-ludwig-wittgenstein-9789735035723/pd/DC27RBBBM/
7,Derogari critice. Prospecte disociative in literatura romana - George Popescu,https://www.emag.ro/derogari-critice-prospecte-disociative-in-literatura-romana-george-popescu-nic978-973-748-728-5/pd/EXKZW0BBM/
7,"Principele, Niccolo Machiavelli, Editura Babel",https://www.emag.ro/principele-niccolo-machiavelli-editura-babel-bb-835/pd/DHXFDVBBM/
7,Geniul cocosatului,https://www.emag.ro/geniul-cocosatului-973-86795-2-4/pd/DMLCJNBBM/
7,Demografie si sociologia populatiei. Structuri - Traian Rotariu,https://www.emag.ro/demografie-si-sociologia-populatiei-structuri-traian-rotariu-9789734612505/pd/E99B50BBM/
7,Profesia de relationist - Bernard Dagenais,https://www.emag.ro/profesia-de-relationist-bernard-dagenais-9789736811425/pd/DXGDR3BBM/
8,Vizuina luminata - Max Blecher,https://www.emag.ro/vizuina-luminata-max-blecher-978-973-124-359-7/pd/ETV950BBM/
8,"Solaris (Andrei Tarkovsky): Umanitatea dezumanizata, MultiMedia Publishing, EPUB",https://www.emag.ro/solaris-andrei-tarkovsky-umanitatea-dezumanizata-multimedia-publishing-epub-pbro119e/pd/D2N6VVBBM/
8,"Solaris (Andrei Tarkovsky): Umanitatea dezumanizata, MultiMedia Publishing, PDF",https://www.emag.ro/solaris-andrei-tarkovsky-umanitatea-dezumanizata-multimedia-publishing-pdf-pbro119p/pd/DYN6VVBBM/
8,"Solaris (Andrei Tarkovsky): Umanitatea dezumanizata, MultiMedia Publishing, MOBI",https://www.emag.ro/solaris-andrei-tarkovsky-umanitatea-dezumanizata-multimedia-publishing-mobi-pbro119m/pd/D3N6VVBBM/
8,"CARTier - Silviu Medesan,Laura Panait",https://www.emag.ro/cartier-silviu-medesan-laura-panait-9786068265476/pd/DQDJS7BBM/
8,Poetica descantecului romanesc - Ioana Repciuc,https://www.emag.ro/poetica-descantecului-romanesc-ioana-repciuc-aiu978-606-562-427-6/pd/DCLRGBBBM/
8,Jaful vs. Dreptul de a nu Minti - Lucian Croitoru,https://www.emag.ro/jaful-vs-dreptul-de-a-nu-minti-lucian-croitoru-9786065883734/pd/EVKJW0BBM/
8,"Informatica utilizata pentru aplicatii in sociologie si psihologie - Cristian Mihai Pomohaci, ed 2020",https://www.emag.ro/informatica-utilizata-pentru-aplicatii-in-sociologie-si-psihologie-cristian-mihai-pomohaci-ed-2020-9789737257451/pd/DG6T8DMBM/
8,Manualul lui Epictet - Epictet,https://www.emag.ro/manualul-lui-epictet-epictet-9786069374573/pd/DB1TRYBBM/
9,La sud prin nord-vest: reflectii existentiale afrodiasporice - Lewis R. Gordon,https://www.emag.ro/la-sud-prin-nord-vest-reflectii-existentiale-afrodiasporice-lewis-r-gordon-9786068265438/pd/D6DZJ7BBM/
9,in apararea filosofiei - Josef Pieper,https://www.emag.ro/in-apararea-filosofiei-josef-pieper-978-973-7688-82-8/pd/DHZLY2BBM/
9,Noaptea gindirii metafizice. - Tereza-Brindusa Palade,https://www.emag.ro/noaptea-gindirii-metafizice-tereza-brindusa-palade-978-973-141-056-2/pd/DXJ9Y2BBM/
9,Filosofia comunicarii - Constantin Stroe,https://www.emag.ro/filosofia-comunicarii-constantin-stroe-9786062802301/pd/DVZN22BBM/
9,"Imre Lakatos: Euristica si toleranta metodologica, Nicolae Sfetcu, 46 pagini",https://www.emag.ro/imre-lakatos-euristica-si-toleranta-metodologica-nicolae-sfetcu-46-pagini-pero135t/pd/DWY7M1BBM/
9,"Isaac Newton despre actiunea la distanta in gravitatie - Cu sau fara Dumnezeu?, Nicolae Sfetcu",https://www.emag.ro/isaac-newton-despre-actiunea-la-distanta-in-gravitatie-cu-sau-fara-dumnezeu-nicolae-sfetcu-pero128t/pd/DRY9KLBBM/
9,Iesirea din cliseu - Nicolae Rusu,https://www.emag.ro/iesirea-din-cliseu-nicolae-rusu-nic978-973-748-661-5/pd/EVYC60BBM/
9,Jocurile manierismului logic - Marta Petreu,https://www.emag.ro/jocurile-manierismului-logic-marta-petreu-9789734633876/pd/EFFQW0BBM/
9,Un altfel de jurnal - Matei Calinescu,https://www.emag.ro/un-altfel-de-jurnal-matei-calinescu-9789735052393/pd/D5QBW3BBM/
9,"Eugenia - Trecut, Prezent, Viitor, MultiMedia Publishing, PDF",https://www.emag.ro/eugenia-trecut-prezent-viitor-multimedia-publishing-pdf-pbro105p/pd/DMQ06VBBM/
