pret,descriere,link
1249,"Laptop ultraportabil Samsung Galaxy Chromebook 4 cu procesor Intel Celeron N4000, 11.6"", HD, 4GB, 64GB eMMC, Intel UHD Graphics, Chrome OS, Layout IT, Platinum Titan",https://www.emag.ro/laptop-ultraportabil-samsung-galaxy-chromebook-4-cu-procesor-intel-celeron-n4000-11-6-hd-4gb-64gb-emmc-intel-uhd-graphics-chrome-os-layout-it-platinum-titan-310xba-k01/pd/D2W5JPMBM/
1249,"Laptop ultraportabil ASUS E210MA cu procesor Intel® Celeron® N4020, 11.6"", HD, 4GB, 128GB, eMMC, Intel® UHD Graphics 600, Windows 10 Home S, Peacock Blue",https://www.emag.ro/laptop-ultraportabil-asus-e210ma-cu-procesor-intelr-celeronr-n4020-11-6-hd-4gb-128gb-emmc-intelr-uhd-graphics-600-windows-10-home-s-peacock-blue-e210ma-gj185ts/pd/DGVJ2XMBM/
1289,"Laptop Allview Allbook H cu procesor Intel Celeron N4000 pana la 2.60 GHz, 15.6"", Full HD, 4GB, 256GB SSD, Intel UHD 600, Ubuntu, Grey",https://www.emag.ro/laptop-allview-cu-procesor-intel-celeron-n4000-pana-la-2-60-ghz-15-6-full-hd-4gb-256gb-ssd-intel-uhd-600-ubuntu-grey-allbook-h/pd/D81Y12MBM/
1292,"Laptop ultraportabil ASUS W202NA cu procesor Intel Celeron N3350 pana la 2.40 GHz, 11.6"", HD, 4GB, 64GB eMMC, Windows 10 Pro, Dark Blue",https://www.emag.ro/laptop-ultraportabil-asus-w202na-cu-procesor-intel-celeron-n3350-pana-la-2-40-ghz-11-6-hd-4gb-64gb-emmc-windows-10-pro-dark-blue-w202na-gj0031r/pd/DPCR2KMBM/
1299,"Laptop ultraportabil ASUS E210MA cu procesor Intel® Celeron® N4020, 11.6"", HD, 4GB, 128GB, eMMC, Intel® UHD Graphics 600, Windows 10 Home S, Star Black",https://www.emag.ro/laptop-ultraportabil-asus-e210ma-cu-procesor-intelr-celeronr-n4020-11-6-hd-4gb-128gb-emmc-intelr-uhd-graphics-600-windows-10-home-s-star-black-e210ma-gj204ts/pd/DWVJ2XMBM/
1299,"Laptop ultraportabil Prestigio SmartBook 133 C4 cu procesor AMD A4-9120e pana la 2.20 GHz, 14.1"", HD, 4GB, 64GB eMMC, AMD Radeon R3, Windows 10 Pro, Dark Grey",https://www.emag.ro/laptop-ultraportabil-prestigio-smartbook-133-c4-cu-procesor-amd-a4-9120e-pana-la-2-20-ghz-14-1-hd-4gb-64gb-emmc-amd-radeon-r3-windows-10-pro-dark-grey-psb133c04cgp-dg/pd/D54KRDMBM/
1349,"Laptop Lenovo IdeaPad 3 15ITL6 cu procesor Intel Celeron 6305, 15.6"", Full HD,IPS, 4GB, 128GB SSD, Intel UHD Graphics, No OS, Arctic Grey",https://www.emag.ro/laptop-lenovo-ideapad-3-15itl6-cu-procesor-intel-celeron-6305-15-6-full-hd-ips-4gb-128gb-ssd-intel-uhd-graphics-no-os-arctic-grey-82h801etrm/pd/D9NQQPMBM/
1349,"Laptop Lenovo IdeaPad 3 15ITL6 cu procesor Intel Celeron 6305, 15.6"", Full HD,IPS, 4GB, 128GB SSD, Intel UHD Graphics, No OS, Sand",https://www.emag.ro/laptop-lenovo-ideapad-3-15itl6-cu-procesor-intel-celeron-6305-15-6-full-hd-ips-4gb-128gb-ssd-intel-uhd-graphics-no-os-sand-82h801ewrm/pd/DFNQQPMBM/
1399,"Laptop HP ProBook 6470b cu procesor Intel® Core™ i3-3110M 2.40GH, 8GB DDR3, 120GB SSD Intel® HD Graphics, unitate optica DVD-RW",https://www.emag.ro/laptop-hp-probook-6470b-cu-procesor-intelr-coretm-i3-3110m-2-40gh-8gb-ddr3-120gb-ssd-intelr-hd-graphics-unitate-optica-dvd-rw-lg-27102021/pd/DLGDZXMBM/
1399,"Laptop ultraportabil Chuwi GemiBook cu procesor Intel Celeron J4115, 13"", 256GB SSD, 8GB RAM, Intel® UHD Graphics, Windows 10 Home, Space Gray",https://www.emag.ro/laptop-ultraportabil-chuwi-gemibook-cu-procesor-intel-celeron-j4115-13-256gb-ssd-8gb-ram-intelr-uhd-graphics-windows-10-home-space-gray-gbooky256g210702242/pd/DL07WXMBM/
1399,"Laptop Acer Aspire 3 A315-34 Intel® Celeron® Quad Core N4100 pana la 2.40 GHz, 15.6"", Full HD, 4GB, 128GB, Intel® UHD Graphics 600, No OS, Black",https://www.emag.ro/laptop-acer-aspire-3-a315-34-intelr-celeronr-quad-core-n4100-pana-la-2-40-ghz-15-6-full-hd-4gb-128gb-intelr-uhd-graphics-600-no-os-black-nx-he3ex-01y/pd/DMSPC2MBM/
1399,"Laptop HP 15-dw1033nq cu procesor Intel® Celeron® N4020, 15.6"", Full HD, 4GB, 256GB SSD, Intel® UHD Graphics, Free DOS, Black",https://www.emag.ro/laptop-hp-15-dw1033nq-cu-procesor-intelr-celeronr-n4020-15-6-full-hd-4gb-256gb-ssd-intelr-uhd-graphics-free-dos-black-322j2ea/pd/D7BT3PMBM/
1429,"Laptop ultrabook explore,diagonala 14.1 inch, 1406 kruger&matz negru,64 gb",https://www.emag.ro/laptop-ultrabook-explore-diagonala-14-1-inch-1406-kruger-matz-negru-64-gb-km1406-b/pd/DF3G5KMBM/
1449,"Laptop HP 14-DQ0001dx, 14"" HD Display, Intel Celeron N4020 Dual Core, 4GB RAM, 64GB eMMC, Intel UHD Graphics, Windows 10 Home S, Jet Black",https://www.emag.ro/laptop-hp-14-dq0001dx-14-hd-display-intel-celeron-n4020-dual-core-4gb-ram-64gb-emmc-intel-uhd-graphics-windows-10-home-s-jet-black-234k1ua/pd/DLH2FDMBM/
1449,"Laptop Lenovo IdeaPad 3 15ITL6 cu procesor Intel Celeron 6305, 15.6"", Full HD,IPS, 4GB, 256GB SSD, Intel UHD Graphics, No OS, Arctic Grey",https://www.emag.ro/laptop-lenovo-ideapad-3-15itl6-cu-procesor-intel-celeron-6305-15-6-full-hd-ips-4gb-256gb-ssd-intel-uhd-graphics-no-os-arctic-grey-82h801evrm/pd/DZNQQPMBM/
1449,"Laptop Lenovo IdeaPad 3 15ITL6 cu procesor Intel Celeron 6305, 15.6"", Full HD, IPS, IPS, 4GB, 256GB SSD, Intel UHD Graphics, No OS, Arctic Grey",https://www.emag.ro/laptop-lenovo-ideapad-3-15itl6-cu-procesor-intel-celeron-6305-15-6-full-hd-ips-ips-4gb-256gb-ssd-intel-uhd-graphics-no-os-arctic-grey-82h800bkrm/pd/DWC8B0MBM/
1449,"Laptop Lenovo IdeaPad 3 15ITL6 cu procesor Intel Celeron 6305, 15.6"", Full HD,IPS, 4GB, 256GB SSD, Intel UHD Graphics, No OS, Sand",https://www.emag.ro/laptop-lenovo-ideapad-3-15itl6-cu-procesor-intel-celeron-6305-15-6-full-hd-ips-4gb-256gb-ssd-intel-uhd-graphics-no-os-sand-82h801f0rm/pd/DJNQQPMBM/
1463,"Laptop Weigo by Insys WHA-156H cu procesor Intel® Celeron® N4100 pana la 2.40 GHz, 15.6"", Full HD IPS, 8 GB, 192GB SSD (64GB MMC+128GB SSD), Intel UHD Graphics 600, fara retea pe fir si unitate optica DVD, Windows 10 Home, negru",https://www.emag.ro/laptop-weigo-by-insys-cu-procesor-intelr-celeronr-n4100-pana-la-2-40-ghz-15-6-full-hd-ips-8-gb-192gb-ssd-64gb-mmc-128gb-ssd-intel-uhd-graphics-600-fara-retea-pe-fir-si-unitate-optica-dvd-windows-10-ho/pd/D545C2MBM/
1492,Laptop Asus E510MA-BR610 15.6' HD Celeron N4020 4GB 256GB DOS Star Black,https://www.emag.ro/laptop-asus-15-6-hd-celeron-n4020-4gb-256gb-dos-star-black-e510ma-br610/pd/DQWQHXMBM/
1499,"Laptop ultraportabil Teclast F7 Plus 2, 14.1"", FHD, Intel Gemini Lake, 256GB SSD, 8GB RAM, Intel UHD Graphics 600, Windows 10 Home, Platinum",https://www.emag.ro/laptop-ultraportabil-teclast-f7-plus-2-14-1-fhd-intel-gemini-lake-256gb-ssd-8gb-ram-intel-uhd-graphics-600-windows-10-home-platinum-f7-plus-2-k256gbg/pd/DL0HMPMBM/
1499,"Laptop Lenovo ThinkPad T530 cu procesor Intel® Core™ i5 up to 3.30GHz, Memorie 8GB, Ssd 120GB, Dvd-rw, video Intel® HD Graphics 4000",https://www.emag.ro/laptop-lenovo-thinkpad-t530-cu-procesor-intelr-coretm-i5-up-to-3-30ghz-memorie-8gb-ssd-120gb-dvd-rw-video-intelr-hd-graphics-4000-lg-5302021/pd/DGJWQXMBM/
1499,"Laptop ultraportabil Jumper EzBook X3 cu procesor Intel Celeron N3450 Quad - Core pana la 2.20 GHz, 13.3"", Full HD, 8GB, 128GB SSD, Intel® HD Graphics 500, Windows 10 Home, Grey",https://www.emag.ro/laptop-ultraportabil-jumper-ezbook-x3-cu-procesor-intel-celeron-n3450-quad-core-pana-la-2-20-ghz-13-3-full-hd-8gb-128gb-ssd-intelr-hd-graphics-500-windows-10-home-grey-ezbook-x3-2/pd/DQDRSDMBM/
1499,"Laptop ASUS X515MA cu procesor Intel® Celeron® N4020, 15.6"", Full HD, 4GB, 256GB SSD, Intel® UHD Graphics 600, No OS, Transparent Silver",https://www.emag.ro/laptop-asus-x515ma-cu-procesor-intelr-celeronr-n4020-15-6-full-hd-4gb-256gb-ssd-intelr-uhd-graphics-600-no-os-transparent-silver-x515ma-ej490/pd/DXNWXXMBM/
1499,"Laptop ultraportabil Acer Chromebook CB314 cu procesor Intel Pentium N5030 1.10 GHz, 14"", HD, 4GB, eMMC 64GB, Intel UHD Graphics, Chrome OS,Silver",https://www.emag.ro/laptop-ultraportabil-acer-chromebook-cb314-cu-procesor-intel-pentium-n5030-1-10-ghz-14-hd-4gb-emmc-64gb-intel-uhd-graphics-chrome-os-silver-nx-hpyex-003/pd/DMM0DKMBM/
