pret,descriere,link
210,"Placa video BIOSTAR GeForce 210, 1GB, GDDR3, 64 bit, DVI-I, D-Sub, HDMI",https://www.emag.ro/placa-video-biostar-geforce-210-1gb-gddr3-64-bit-dvi-i-d-sub-hdmi-bio-vc-n-vn2103nhg6/pd/D2LRCKMBM/
219,"Placa video MSI GT 710 1GD3 LP, 1GB DDR3, 64 bit",https://www.emag.ro/placa-video-msi-gt-710-1gd3-lp-1gb-ddr3-64-bit-gt7101gd3lp/pd/DH7GB8BBM/
249,"Placa video MSI GeForce® GT 710, 2GB DDR3, 64-bit",https://www.emag.ro/placa-video-msi-geforcer-gt-710-2gb-ddr3-64-bit-gt-710-2gd3h-lp/pd/DWF003BBM/
267,"Placa Video ASUS GeForce® GT 710, 1GB, GDDR5, 32 bit",https://www.emag.ro/placa-video-asus-geforcer-gt-710-1gb-gddr5-32-bit-gt710-sl-1gd5/pd/DNXCQJBBM/
269,"Placa video ASUS GeForce GT 710, 1GB GDDR5, 32-bit",https://www.emag.ro/placa-video-asus-geforce-gt-710-1gb-gddr5-32-bit-gt710-sl-1gd5-brk/pd/D8XTZ9BBM/
272,Placa video Biostar nVidia GT610 2Gb 64bit,https://www.emag.ro/placa-video-biostar-nvidia-gt610-2gb-64bit-vn6103thx6-tbarl-bs2/pd/D81KHNMBM/
279,"Placa video Gigabyte GeForce GT 710, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-gigabyte-geforce-gt-710-2gb-gddr5-64-bit-n710d5sl-2gl/pd/D23GB8BBM/
295,"Placa Video Elsa GT 710, 2 GB DDR3, 64 Bit",https://www.emag.ro/placa-video-elsa-gt-710-2-gb-ddr3-64-bit-mv3d-gt710elsa/pd/DF3NMHMBM/
319,"Placa video MSI GeForce® GT 710 2GD3H H2D, 2GB DDR3, 64-bit",https://www.emag.ro/placa-video-msi-geforcer-2gb-ddr3-64-bit-gt-710-2gd3h-h2d/pd/DTP6XSBBM/
324,"Placa video Gigabyte NVIDIA GeForce GT 710, 1GB DDR5, 64-bit",https://www.emag.ro/placa-video-gigabyte-nvidia-geforce-gt-710-1gb-ddr5-64-bit-gv-n710d5-1gl/pd/DRXY25BBM/
330,"Placa video Palit GeForce® GT 710, 2GB DDR3, 64-bit",https://www.emag.ro/placa-video-palit-geforcer-gt-710-2gb-ddr3-64-bit-neat7100hd46h/pd/D8X6XSBBM/
339,"Placa video BIOSTAR GeForce GT710, 2GB, GDDR3, 64 bit, DVI-I, D-Sub, HDMI",https://www.emag.ro/placa-video-biostar-geforce-gt710-2gb-gddr3-64-bit-dvi-i-d-sub-hdmi-bio-vc-n-vn7103thx6/pd/D7LRCKMBM/
349,"Placa video ASUS GeForce GT 710, 2GB GDDR5, 64 bit",https://www.emag.ro/placa-video-asus-geforce-gt-710-2gb-gddr5-64-bit-gt710-sl-2gd5/pd/DQ6WDGBBM/
353,"Placa video Gigabyte Geforce GT 710, 2GB, GDDR5, 64-Bit, LP",https://www.emag.ro/placa-video-gigabyte-geforce-gt-710-2gb-gddr5-64-bit-lp-gv-n710d5-2gl/pd/DL98JHBBM/
361,"Placa video GIGABYTE GeForce® GT 710, 2GB DDR3, 64-bit",https://www.emag.ro/placa-video-gigabyte-geforcer-gt-710-2gb-ddr3-64-bit-n710d3-2gl/pd/DZ1003BBM/
365,Adaptor NVLINK™ BRIDGE Gigabyte AORUS GeForce RTX™ FOR 30 SERIES,https://www.emag.ro/adaptor-nvlinktm-bridge-gigabyte-aorus-geforce-rtxtm-for-30-series-gc-anvlink/pd/DQ26P0MBM/
379,"Placa video ZOTAC GeForce® GT 730 ZONE, 2GB DDR3, 64-bit",https://www.emag.ro/placa-video-zotac-geforcer-gt-730-zone-2gb-ddr3-64-bit-pl-1026316-zt-71113-20l/pd/DFXDKMBBM/
379,"Placa video ASUS Phoenix Radeon™ RX 550, 2GB GDDR5, 128-bit",https://www.emag.ro/placa-video-asus-phoenix-radeontm-rx-550-2gb-gddr5-128-bit-ph-rx550-2g-evo/pd/D74NN3MBM/
381,"Placa video Gigabyte NVIDIA GeForce GT 710, 1GB GDDR5, 64-bit",https://www.emag.ro/placa-video-gigabyte-nvidia-geforce-gt-710-1gb-gddr5-64-bit-gv-n710d5-1gl2-0/pd/DW2F43MBM/
385,"Placa video MSI GeForce® GT 730 K, 2GB DDR3, 64-bit",https://www.emag.ro/placa-video-msi-geforcer-gt-730-k-2gb-ddr3-64-bit-n730k-2gd3h-lp/pd/DM9NX2BBM/
396,"Placa video Gainward GeForce® GT 730 SilentFX 2GB, DDR3",https://www.emag.ro/placa-video-gainward-geforcer-gt-730-silentfx-2gb-ddr3-426018336-3224/pd/D9WQZGBBM/
399,"Placa video Gigabyte GeForce GT 1030 Low Profile, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-gigabyte-geforce-gt-1030-low-profile-2gb-gddr5-64-bit-n1030d5-2gl/pd/DJYGB8BBM/
399,"Placa video PowerColor Red Dragon Radeon™ RX 550, 2GB GDDR5, 128-bit",https://www.emag.ro/placa-video-powercolor-red-dragon-radeontm-rx-550-2gb-gddr5-128-bit-550-2gbd5-dh/pd/DCBX0YMBM/
419,"Placa video Gainward GeForce® GT 1030, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-gainward-geforcer-gt-1030-2gb-gddr5-64-bit-426018336-3965/pd/DZ7Q1YMBM/
425,"Placa video BIOSTAR GeForce GT730, 2GB, GDDR3, 128 bit, DVI-I, D-Sub, HDMI, VGA",https://www.emag.ro/placa-video-biostar-geforce-gt730-2gb-gddr3-128-bit-dvi-i-d-sub-hdmi-vga-bio-vc-n-vn7313thx1/pd/D71G7PMBM/
429,"Placa video KFA2 Geforce GT 1030 EX white, 2GB DDR4, 64-bit",https://www.emag.ro/placa-video-kfa2-geforce-gt-1030-ex-white-2gb-ddr4-64-bit-gt1030exwh2gb/pd/DX2GB8BBM/
449,"Placa video ASUS GeForce® GT 730, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-asus-geforcer-gt-730-2gb-gddr5-64-bit-gt730-sl-2gd5-brk/pd/D3XF62BBM/
449,"Placa video MSI GeForce GT 1030 AERO ITX 2G OC, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-msi-geforce-gt-1030-aero-itx-2g-oc-2gb-gddr5-64-bit-gt1030aeroitx2goc/pd/D62GB8BBM/
459,"Placa video Gigabyte GeForce GT 710, 2GB, GDDR5, 64 bit, D-Sub, DVI-D, HDMI",https://www.emag.ro/placa-video-gigabyte-geforce-gt-710-2gb-gddr5-64-bit-d-sub-dvi-d-hdmi-ga-vc-n710d5-2gil/pd/DTNZMWBBM/
459,"Placa video MSI GeForce® GT 730 v2, 2GB DDR3, 128-bit",https://www.emag.ro/placa-video-msi-geforcer-gt-730-v2-2gb-ddr3-128-bit-n730-2gd3v2/pd/D669HYBBM/
469,Placa video Colorful GeForce GT730K 2GD3-V,https://www.emag.ro/placa-video-colorful-geforce-gt730k-2gd3-v-gt730k2gd3-v/pd/D2FP10MBM/
469,"Placa video Gigabyte GeForce® GT 730 rev. 2.0, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-gigabyte-geforcer-gt-730-rev-2-0-2gb-gddr5-64-bit-gv-n730d5-2gi-2-0/pd/D4QJ6HMBM/
469,"Placa video Gigabyte GeForce GT 1030 Silent Low Profile, 2GB DDR5, 64-bit",https://www.emag.ro/placa-video-gigabyte-geforce-gt-1030-silent-low-profile-2gb-ddr5-64-bit-n1030sl-2gl/pd/D6PR4DBBM/
469,"Placa video ASUS Radeon R7 240, 2GB GDDR5, 128-bit",https://www.emag.ro/placa-video-asus-radeon-r7-240-2gb-gddr5-128-bit-r7240-2gd5-l/pd/D1YHV9BBM/
475,"Placa video Radeon R7 350 2GB GDDR5 128-Bit, format ATX Dual, high profile",https://www.emag.ro/placa-video-radeon-r7-350-2gb-gddr5-128-bit-format-atx-dual-high-profile-amd-r7350-graphic/pd/DPTR1XMBM/
476,"Placa video ASUS GeForce® GT 730, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-asus-geforcer-gt-730-2gb-gddr5-64-bit-gt730-4h-sl-2gd5/pd/DH80QXMBM/
478,"Placa video Gainward GeForce® GTX 1030, 2GB DDR4, 64-bit",https://www.emag.ro/placa-video-gainward-geforcer-gtx-1030-2gb-ddr4-64-bit-426018336-4085/pd/D3YGB8BBM/
479,"Placa video MSI GeForce GT 1030 2G LP OC, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-msi-geforce-gt-1030-2g-lp-oc-2gb-gddr5-64-bit-gt10302glpoc/pd/D12GB8BBM/
479,"Placa video MSI GeForce GT 1030 2GH OC, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-msi-geforce-gt-1030-2gh-oc-2gb-gddr5-64-bit-gt10302ghoc/pd/DQ2GB8BBM/
480,"Placa video ASUS GeForce® GT 710, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-asus-geforcer-gt-710-2gb-gddr5-64-bit-gt710-4h-sl-2gd5/pd/DMCNN3MBM/
485,"Placa video Gigabyte GeForce GT 730, 2GB GDDR5, 64-bit",https://www.emag.ro/placa-video-gigabyte-geforce-gt-730-2gb-gddr5-64-bit-n730d5-2gl/pd/D73GB8BBM/
498,"Placa video XFX Radeon™ RX 550 Double Dissipation, 4GB GDDR5, 128-bit",https://www.emag.ro/placa-video-xfx-radeontm-rx-550-double-dissipation-4gb-gddr5-128-bit-rx-550p4pfg5/pd/D8JYZ3MBM/
508,"Placa video BIOSTAR GeForce GT730, 4GB, GDDR3, 128 bit, DVI-I, D-Sub, HDMI",https://www.emag.ro/placa-video-biostar-geforce-gt730-4gb-gddr3-128-bit-dvi-i-d-sub-hdmi-vn7313th41-tbbrl-bs2/pd/DXGKFKMBM/
